"LANE","BIB","ATHLETE","COUNTRY","TWINS","SB","PB","SPLIT_5K","SPLIT_10K","SPLIT_15K","SPLIT_20K","SPLIT_HALF","SPLIT_25K","SPLIT_30K","SPLIT_35K","SPLIT_40K","FINAL","birthday","birthmonth","birthyear","years2marathon"
49,464,"Nary Ly","CAM",NA,NA,10782,1225,2482,3836,5195,5497,6607,8135,9664,11300,12020,6,6,1972,44.2191780821918
50,1243,"Yu-Hsuan Chen","TPE",NA,NA,10521,1226,2488,3789,5084,5379,6418,7767,9246,10741,11353,16,1,1993,23.5917808219178
51,620,"Azucena Díaz","ESP",NA,9105,9105,1086,2178,3292,4382,4627,5487,6581,7692,8823,9302,19,12,1982,33.6767123287671
52,1083,"Jovana de la Cruz","PER",NA,9093,9093,1094,2176,3291,4382,4627,5463,6541,7682,8852,9349,12,7,1992,24.1068493150685
53,388,"Maryna Damantsevich","BLR",NA,9132,9007,1064,2117,3195,4270,4515,5378,6507,7704,8932,9454,10,2,1984,32.5315068493151
54,1197,"Niluka Rajasekara","SRI",NA,10247,9607,1165,2415,3762,5109,5420,6514,7899,9377,10868,11465,17,3,1982,34.4356164383562
55,1387,"Sitora Hamidova","UZB",NA,NA,9709,1125,2235,3370,4491,4739,5618,6730,7867,9075,9585,12,5,1989,27.2767123287671
56,961,"Mariya Korobitskaya","KGZ",NA,NA,9515,1127,2249,3393,4539,4806,5756,7008,8290,9551,10073,10,5,1990,26.2821917808219
57,1025,"Beata Naigambo","NAM",NA,NA,8817,1051,2095,3220,4355,4606,5495,6618,7762,8907,9392,11,3,1980,36.4520547945205
58,545,"Erika Abril","COL",NA,9268,9213,1051,2110,3200,4309,4557,5446,6592,7865,9258,9845,29,3,1978,38.4054794520548
59,1183,"Daneja Grandovec","SLO",NA,NA,9623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,1984,32.1397260273973
60,821,"Tünde Szabó","HUN",NA,NA,9669,1156,2316,3473,4607,4865,5781,6938,8144,9417,9937,8,2,1989,27.5315068493151
61,1405,"Rutendo Joan Nyahora","ZIM",NA,9598,9598,1069,2173,3352,4538,4807,5754,6980,8254,9519,10052,11,11,1988,27.7753424657534
62,1014,"Otgonbayar Luvsanlundeg","MGL",NA,9356,9356,1115,2235,3381,4520,4777,5689,6857,8092,9398,9955,13,7,1982,34.1123287671233
63,1084,"Inés Melchor","PER",NA,8860,8808,1050,2108,3207,4310,4557,5468,NA,NA,NA,NA,30,8,1986,29.9780821917808
64,1129,"Ana Dulce Félix","POR",NA,NA,8715,1049,2080,3138,4188,4422,5265,6337,7454,8567,9039,23,10,1982,33.8328767123288
65,994,"Koutar Boulaid","MAR",NA,9086,9086,1070,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,1989,26.8630136986301
66,670,"Christelle Daunay","FRA",NA,NA,8662,1049,2073,3131,4185,4423,5266,NA,NA,NA,NA,5,12,1974,41.7205479452055
67,803,"Ouranía Reboúli","GRE",NA,NA,9592,1056,2130,3255,4393,4658,5621,6826,8107,9416,9992,16,5,1989,27.2657534246575
68,963,"Viktoriia Poliudina","KGZ",NA,9636,9636,1127,2250,3393,4514,4766,5664,6796,7968,9193,9697,29,6,1989,27.1452054794521
69,599,"Eva Vrabcová Nývltová","CZE",NA,9010,9010,1051,2109,3196,4271,4516,5359,6440,7564,8729,9231,6,2,1986,30.5397260273973
70,379,"Manuela Soccol","BEL",NA,9429,9429,1127,2251,3414,4564,4826,5745,6917,8120,9341,9858,16,6,1988,28.1808219178082
71,807,"Panayióta Vlaháki","GRE",NA,9780,9780,1223,2429,3667,4880,5153,6122,7397,8733,10228,10752,3,4,1991,25.3835616438356
72,1179,"Jie Shi Neo","SGP",NA,NA,11397,1320,2608,3934,5271,5583,6663,8048,9535,11055,11718,20,5,1985,31.2575342465753
73,553,"Angie Orjuela","COL",NA,9313,9298,1093,2176,3291,4382,4626,5487,6597,7753,8921,9425,9,5,1989,27.2849315068493
74,1238,"Jane Vongvorachoti","THA",NA,9729,9640,1148,2274,3436,4589,4851,5766,6942,8176,9481,10047,7,1,1984,32.6246575342466
75,629,"Estela Navascués","ESP",NA,9169,9158,1093,2202,3345,4486,4749,NA,NA,NA,NA,NA,3,2,1981,35.5506849315069
76,804,"Sofía Ríga","GRE",NA,NA,9550,1126,2279,3461,4620,4885,5825,7035,8309,9601,10147,18,7,1988,28.0931506849315
77,609,"María Elena Calle","ECU",NA,9739,9739,1165,2336,3533,4725,4997,5957,7165,8393,9606,10119,25,7,1975,41.0849315068493
78,1030,"Andrea Deelstra","NED",NA,NA,8806,1051,2098,3198,4296,4551,5455,6621,7845,9108,9649,6,3,1985,31.4630136986301
79,974,"Ilona Marhele","LAT",NA,NA,9481,1119,2251,3393,4521,4777,5671,6824,7994,9168,9662,5,4,1986,30.3808219178082
80,1108,"Katarzyna Kowalska","POL",NA,8987,8981,1060,2118,3198,4272,4516,5386,6557,9196,9730,NA,7,4,1985,31.3753424657534
81,446,"Rose Chelimo","BRN",NA,8654,8654,1043,2063,3103,4147,4377,5167,6201,7231,8328,8856,12,7,1989,27.1095890410959
82,1237,"Natthaya Thanaronnawat","THA",NA,9885,9885,1192,2411,3704,5011,5316,6390,7789,9271,10832,11491,12,6,1979,37.2
83,853,"Lornah Chemtai Korlima","ISR",NA,9617,9617,1157,2307,3473,4607,4865,5763,6925,8559,NA,NA,12,12,1988,27.6904109589041
84,390,"Nastassia Ivanova","BLR",NA,9287,8844,1048,2078,3147,NA,NA,NA,NA,NA,NA,NA,4,11,1982,33.8
85,1167,"Dina Lebo Phalula","RSA",NA,9228,9228,1060,2132,3248,4359,4618,5525,6698,7914,9171,9706,9,12,1983,32.7041095890411
86,534,"Chao Yue","CHN",NA,9027,8966,1052,2109,3196,4271,4516,5378,6521,7733,8994,9549,5,1,1991,25.6246575342466
87,342,"Jessica Trengove","AUS",NA,NA,8865,1061,2118,3199,4272,4516,5356,6429,7521,8631,9104,15,8,1987,29.0191780821918
88,312,"María Peralta","ARG",NA,NA,9477,1162,2308,3479,5706,NA,NA,NA,NA,NA,NA,30,11,1977,38.7315068493151
89,509,"Erika Olivera","CHI",NA,9776,9143,1215,2424,3655,4841,5108,6048,7248,8477,9715,10229,4,1,1976,40.6383561643836
90,610,"Rosa Chacha","ECU",NA,NA,9329,1115,2251,3423,4603,4870,5827,7036,8291,9567,10132,8,12,1982,33.7068493150685
91,473,"Krista Duchene","CAN",NA,NA,8912,1071,2143,3249,4338,4583,5439,6533,7675,8841,9329,9,1,1977,39.6219178082192
92,563,"Matea Matosevic","CRO",NA,NA,9895,1143,2292,3473,4644,4911,5847,7069,8326,9636,10200,14,3,1989,27.4383561643836
93,1397,"Yolymar Pineda","VEN",NA,NA,9692,1119,2250,3393,4532,4797,5725,6925,8196,9506,10054,14,11,1985,30.7698630136986
94,1234,"Sara Ramadhani","TAN",NA,9900,9900,1045,2091,3227,4413,4686,5666,6976,8421,10171,10803,30,12,1987,28.6438356164384
95,1009,"Margarita Hernández","MEX",NA,8997,8997,1060,2119,3224,4317,4570,5444,6574,7764,8996,9495,3,12,1985,30.7178082191781
96,1145,"Beverly Ramos","PUR",NA,9391,9391,1084,2177,3291,4394,4650,5580,6772,8003,9281,9832,24,8,1987,28.9945205479452
97,1161,"Paula-Claudia Todoran","ROU",NA,9404,9404,1070,2151,3250,4346,4594,5488,6647,7966,9565,10134,9,6,1985,31.2027397260274
98,634,"Liina Luik","EST","Luik triplets",NA,9582,1191,2405,3660,4951,NA,NA,NA,NA,NA,NA,14,10,1985,30.8547945205479
99,1013,"Munkhzaya Bayartsogt","MGL",NA,9410,9216,1057,2140,3248,4346,4595,5488,6626,7889,9269,9835,10,10,1993,22.8602739726027
100,615,"Nebiat Habtemariam","ERI",NA,NA,9124,1068,2155,3292,4423,4680,5613,6824,8089,9368,9921,29,12,1978,37.6520547945205
101,915,"Mai Ito","JPN",NA,NA,8682,1050,2071,3137,4229,4482,5363,6498,7697,8938,9457,23,5,1984,32.2493150684932
102,424,"Marily dos Santos","BRA",NA,NA,9115,1086,2167,3296,4403,4655,5575,6761,8008,9325,9908,5,2,1978,38.5479452054795
103,1137,"Hye-Gyong Kim","PRK","Kim twins",NA,8825,1045,2064,3106,4155,4394,5233,6288,7371,8447,8916,9,3,1993,23.4493150684931
104,612,"Silvia Paredes","ECU",NA,9725,9725,1115,2252,3423,4603,4871,5828,7036,8290,9551,10081,23,1,1983,33.5808219178082
105,845,"Fionnuala McCormack","IRL",NA,NA,9106,1074,2141,3223,4281,4523,5360,6428,7516,8617,9082,24,9,1984,31.9095890410959
106,749,"Lisa Hahner","GER","Hahner twins",9296,8919,1115,2251,3393,4537,4797,5725,6921,8153,9400,9933,20,11,1989,26.7506849315069
107,857,"Catherine Bertone","ITA",NA,9019,9019,1053,2110,3198,4272,4517,5357,6434,7563,8727,9209,6,5,1972,44.3041095890411
108,433,"Graciete Santana","BRA",NA,9513,9513,1219,2495,3806,5123,5413,6471,7842,9256,10715,11355,12,10,1980,35.8630136986301
109,722,"Sonia Samuels","GBR",NA,9120,8884,1080,2154,3261,4339,4583,5437,6519,7652,8796,9276,16,5,1979,37.2739726027397
110,567,"Marija Vrajic","CRO",NA,9641,9641,1129,2283,3511,4784,5083,6131,7486,8884,10230,10764,23,9,1976,39.9178082191781
111,1109,"Iwona Lewandowska","POL",NA,9015,8867,1054,2109,3195,4270,4516,5356,6428,7519,8632,9101,19,2,1985,31.5041095890411
112,840,"Breege Connolly","IRL",NA,NA,9449,1141,2263,3415,4543,4802,5722,6897,8127,9363,9881,1,2,1978,38.558904109589
113,940,"Gulzhanat Zhanatbek","KAZ",NA,10566,9516,1168,2335,3534,NA,NA,NA,NA,NA,NA,NA,30,11,1991,24.7232876712329
114,343,"Lisa Jane Weightman","AUS",NA,8855,8765,1060,2112,3196,4272,4517,5357,6438,7567,8775,9281,16,1,1979,37.6027397260274
115,986,"Diana Lobacevske","LTU",NA,9009,8937,1061,2126,3221,4282,4516,5359,6426,7514,8601,9048,7,8,1980,36.0438356164384
116,510,"Natalia Romero","CHI",NA,10040,9295,1215,2424,3679,4928,5213,6247,7584,8938,10308,10889,26,2,1980,36.4904109589041
117,601,"Jessica Draskau-Petersson","DEN",NA,NA,9007,1120,2218,3336,4438,4684,5544,6650,7780,8903,9374,8,9,1977,38.958904109589
118,1191,"Olivera Jevtic","SRB",NA,NA,8723,1064,2168,3293,4453,4722,NA,NA,NA,NA,NA,24,7,1977,39.0849315068493
119,1153,"Daniela Cârlan","ROU",NA,NA,9378,1151,2355,NA,NA,NA,NA,NA,NA,NA,NA,18,9,1980,35.9287671232877
120,960,"Iuliia Andreeva","KGZ",NA,NA,9058,1126,2249,3392,4516,4766,5663,6802,7985,9143,9634,7,3,1984,32.4602739726027
121,1216,"Katarina Bérešová","SVK",NA,NA,9380,1124,2278,3477,4645,4914,5865,7085,8358,9680,10254,10,10,1987,28.8657534246575
122,311,"Rosa Godoy","ARG",NA,9516,9516,1162,2308,3479,4643,4906,5834,7049,8361,9734,10351,19,3,1982,34.4301369863014
123,1085,"Gladys Tejeda","PER",NA,9294,8892,1049,2071,3109,4149,4385,5220,6290,7386,8514,8995,30,9,1985,30.8931506849315
124,983,"Chirine Njeim","LBN",NA,9859,9859,1071,2173,3332,4486,4750,5708,6976,8285,9650,10268,4,10,1984,31.8821917808219
125,989,"Vaida Žusinaite","LTU",NA,9170,9170,1065,2145,3259,4340,4587,5464,6579,7735,8878,9353,13,1,1988,28.6054794520548
126,1088,"Mayada Sayyad","PLE",NA,9600,9600,1131,2252,3393,4537,4796,5724,6890,8055,9251,9748,26,10,1992,23.8164383561644
127,1244,"Chien-Ho Hsieh","TPE",NA,9818,9818,1151,2309,3501,4681,4949,5910,7141,8457,9861,10458,25,11,1987,28.7397260273973
128,1210,"Maja Neuenschwander","SUI",NA,8856,8809,1050,2104,3196,4270,4516,5359,6443,7584,8767,9267,13,2,1980,36.5260273972603
129,948,"Visiline Jepkesho","KEN",NA,8753,8684,1043,2062,3103,4147,4377,5213,6412,7763,9356,9965,30,12,1989,26.641095890411
130,378,"Els Rens","BEL",NA,NA,9496,1168,2325,3530,4697,4963,5888,7058,8249,9450,9952,19,2,1983,33.5068493150685
131,865,"Anna Incerti","ITA",NA,NA,8732,1052,2109,3195,4271,4515,5358,6450,NA,NA,NA,19,1,1980,36.5945205479452
132,376,"Veerle Dejaeghere","BEL",NA,NA,9116,1126,2249,3380,4491,4741,5626,6741,7869,8990,9459,1,8,1973,43.0657534246575
133,1268,"Nyakisi Adero","UGA",NA,9778,9294,1051,2079,3161,4257,4514,5446,6627,7895,9218,9759,2,7,1986,30.1397260273973
134,308,"Viviana Chávez","ARG",NA,9507,9507,1135,2275,3485,4753,5043,6089,7445,8862,10366,11003,28,5,1987,29.2356164383562
135,978,"Jelena Prokopcuka","LAT",NA,NA,8576,1078,2153,3248,4319,4558,5396,6429,7473,8524,8972,21,9,1976,39.9232876712329
136,482,"Lanni Marchant","CAN",NA,NA,8880,1057,2118,3199,4272,4516,5359,6435,7556,8704,9188,11,4,1984,32.3643835616438
137,969,"Sarah Attar","KSA",NA,NA,11487,1345,2671,4021,5346,5650,6702,8071,9525,11088,11771,27,8,1992,23.9808219178082
138,1001,"Lilia Fisikowici","MDA",NA,NA,9312,1062,2143,3249,4323,4569,5438,6534,7663,8777,9245,29,3,1989,27.3972602739726
139,1019,"Sladana Perunovic","MNE",NA,NA,9547,1168,2369,NA,NA,NA,NA,NA,NA,NA,NA,26,3,1984,32.4082191780822
140,460,"Militsa Mircheva","BUL",NA,NA,9863,1169,2354,3563,4744,5005,5957,7189,8446,9740,10266,24,5,1994,22.241095890411
141,600,"Anne Holm Baumeister","DEN",NA,NA,9268,1153,2291,3442,4574,4833,5742,6890,8046,9145,9589,29,12,1987,28.6465753424658
142,656,"Anne-Mari Hyryläinen","FIN",NA,9252,9252,1091,2171,3291,4382,4627,5509,6651,7836,9044,9542,15,8,1978,38.0246575342466
143,349,"Andrea Mayr","AUT",NA,NA,9043,1093,2181,3305,4422,4680,5572,6739,7944,9185,9712,15,10,1979,36.8575342465753
144,1000,"Tereza Master","MAW",NA,NA,10254,1069,2173,3352,4538,4807,5754,6985,8275,9566,10114,21,9,1988,27.9150684931507
145,1024,"Helalia Johannes","NAM",NA,9356,8769,1051,2079,3162,4246,4497,5358,6453,7676,9024,9595,13,8,1980,36.027397260274
146,1259,"Meryem Erdogan","TUR",NA,9324,9324,1085,2234,3394,4537,4807,5813,7093,8440,9888,10444,24,4,1990,26.3260273972603
147,1010,"Madaí Pérez","MEX",NA,8967,8579,1074,2139,3223,4282,4523,5366,6474,7630,8791,9282,2,2,1980,36.5561643835616
148,1139,"Kum-Ok Kim","PRK",NA,9377,8816,1044,2077,3147,4229,4482,5379,6516,7736,8984,9504,9,12,1988,27.6986301369863
149,323,"Milly Clark","AUS",NA,NA,8947,1068,2128,3214,4279,4521,5362,6431,7509,8601,9053,1,3,1989,27.4739726027397
150,965,"Seul-ki Ahn","KOR",NA,9135,9135,1071,2150,3248,4339,4584,5438,6534,7693,8896,9410,29,5,1992,24.227397260274
151,1256,"Esma Aydemir","TUR",NA,9322,9322,1081,2155,3262,4339,4584,5437,6519,7652,8972,9599,1,1,1992,24.6356164383562
152,700,"Alyson Dixon","GBR",NA,9112,8970,1081,2155,3262,4338,4583,5437,6511,7620,8766,9251,24,9,1978,37.9150684931507
153,1172,"Irvette van Zyl","RSA",NA,9140,9086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,1987,29.1315068493151
154,843,"Lizzie Lee","IRL",NA,NA,9171,1126,2250,3380,4491,4742,5626,6742,7884,9094,9597,22,5,1980,36.2547945205479
155,570,"Dailín Belmonte","CUB",NA,9764,9488,1119,2251,3393,4538,4797,5725,6954,8238,9557,10138,15,10,1985,30.8520547945205
156,304,"Kenza Dahmani Tifahi","ALG",NA,9233,9233,1058,2117,3208,4300,4556,5442,6596,7809,9013,9517,18,11,1980,35.7616438356164
157,1138,"Hye-Song Kim","PRK","Kim twins",9825,8878,1046,2064,3106,4155,4394,5233,6288,7371,8447,8916,9,3,1993,23.4493150684931
